@ NAME             %08s "APERTURE"
@ TYPE             %08s "APERTURE"
@ SEQUENCE         %07s "LHCCELL"
@ PARTICLE         %06s "PROTON"
@ MASS             %le    0.938
@ ENERGY           %le  450.000
@ PC               %le  449.999
@ GAMMA            %le  479.605
@ EXN              %le    0.000
@ EYN              %le    0.000
@ DQF              %le    2.086
@ BETAQFX          %le  170.250
@ PARAS_DX         %le       0.273
@ PARAS_DY         %le       0.273
@ DP_BUCKET_SIZE   %le    0.002
@ TWISS_DELTAP     %le    0.000
@ CO_RADIUS        %le    0.004
@ BETA_BEATING     %le    1.100
@ NB_OF_ANGLES     %d   20
@ HALO_PRIM        %le       6
@ HALO_R           %le       8.4
@ HALO_H           %le       7.3
@ HALO_V           %le       7.3
@ n1min            %le   4.85636
@ at_element       %05s  "MQ1:1"
@ TITLE            %37s "LHC Cell APERTURE exemple, BJ Aug2009"
@ ORIGIN           %19s "MAD-X 4.01.41 Linux"
@ DATE             %08s "02/02/11"
@ TIME             %08s "19.14.07"
* NAME                     S    BETX    BETY      DX       X       Y      N1 APERTYPE            APER_1  APER_2  APER_3  APER_4    XTOL    YTOL    RTOL 
$ %s                     %le     %le     %le     %le     %le     %le     %le %s                     %le     %le     %le     %le     %le     %le     %le 
 "LHCCELL$START"       0.000 177.453  32.266   2.186   0.000   0.000 999999.000 "CIRCLE"              0.000   0.000   0.000   0.000   0.000   0.000   0.000
 "MQ1"                 0.000 177.453  32.266   2.186  -0.001   0.000   6.732 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MQ1"                 1.033 180.784  31.607   2.207  -0.002   0.000   6.036 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MQ1"                 2.067 180.783  31.607   2.207  -0.003   0.000   5.413 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MQ1"                 3.100 177.453  32.266   2.187  -0.004   0.000   4.856 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "DRIFT_0"             6.770 160.335  36.311   2.079   0.000   0.000 999999.000 ""                    0.000   0.000   0.000   0.000   0.000   0.000   0.000
 "MB1"                 6.770 160.335  36.311   2.079   0.000   0.000   7.805 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB1"                 7.791 155.754  37.620   2.049   0.000   0.000   7.942 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB1"                 8.813 151.252  39.009   2.020   0.000   0.000   8.079 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB1"                 9.834 146.830  40.477   1.991   0.000   0.000   8.216 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB1"                10.856 142.487  42.024   1.962   0.000   0.000   8.356 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB1"                11.877 138.224  43.652   1.934   0.000   0.000   8.497 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB1"                12.899 134.040  45.359   1.906   0.000   0.000   8.641 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB1"                13.920 129.936  47.145   1.878   0.000   0.000   8.776 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB1"                14.941 125.912  49.011   1.851   0.000   0.000   8.912 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB1"                15.963 121.967  50.957   1.824   0.000   0.000   9.051 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB1"                16.984 118.102  52.983   1.797   0.000   0.000   9.191 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB1"                18.006 114.316  55.088   1.771   0.000   0.000   9.332 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB1"                19.027 110.610  57.273   1.745   0.000   0.000   9.469 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB1"                20.049 106.984  59.537   1.720   0.000   0.000   9.606 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB1"                21.070 103.437  61.881   1.695   0.000   0.000   9.745 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "DRIFT_1"            22.090  99.974  64.302   1.670   0.000   0.000 999999.000 ""                    0.000   0.000   0.000   0.000   0.000   0.000   0.000
 "MB2"                22.090  99.974  64.302   1.670   0.000   0.000   9.886 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
