@ NAME             %04s "CORR"
@ TYPE             %04s "CORR"
@ TITLE            %51s "LHC 6.5 with errors and orbit correction using MADX"
@ ORIGIN           %19s "MAD-X 4.01.42 Linux"
@ DATE             %08s "07/03/11"
@ TIME             %08s "07.50.25"
* NAME                           PX.OLD             PY.OLD      PX.CORRECTION      PY.CORRECTION 
$ %s                                %le                %le                %le                %le 
 "MCBXH.1R1"                          0                  0   -2.434910357e-09                  0
 "MCBXV.1R1"                          0                  0                  0                  0
 "MCBXH.2R1"                          0                  0    -1.38329699e-09                  0
 "MCBXV.2R1"                          0                  0                  0                  0
 "MCBXH.3R1"                          0                  0    2.715777555e-09                  0
 "MCBXV.3R1"                          0                  0                  0                  0
 "MCBYV.A4R1.B1"                      0                  0                  0                  0
 "MCBYH.4R1.B1"                       0                  0   -5.626075108e-10                  0
 "MCBYV.B4R1.B1"                      0                  0                  0                  0
 "MCBCH.5R1.B1"                       0                  0   -1.726515052e-09                  0
 "MCBCV.6R1.B1"                       0                  0                  0                  0
 "MCBCH.7R1.B1"                       0                  0    5.807075468e-09                  0
 "MCBCV.8R1.B1"                       0                  0                  0                  0
 "MCBCH.9R1.B1"                       0                  0   -5.433101614e-08                  0
 "MCBCV.10R1.B1"                      0                  0                  0                  0
 "MCBH.11R1.B1"                       0                  0    7.965390687e-07                  0
 "MCBV.12R1.B1"                       0                  0                  0                  0
 "MCBH.13R1.B1"                       0                  0   -2.549620403e-07                  0
 "MCBV.14R1.B1"                       0                  0                  0                  0
 "MCBH.15R1.B1"                       0                  0    -2.33515515e-06                  0
 "MCBV.16R1.B1"                       0                  0                  0                  0
 "MCBH.17R1.B1"                       0                  0    1.314815949e-06                  0
 "MCBV.18R1.B1"                       0                  0                  0                  0
 "MCBH.19R1.B1"                       0                  0   -2.744015306e-06                  0
 "MCBV.20R1.B1"                       0                  0                  0                  0
 "MCBH.21R1.B1"                       0                  0    9.754524217e-07                  0
 "MCBV.22R1.B1"                       0                  0                  0                  0
 "MCBH.23R1.B1"                       0                  0   -5.738586187e-07                  0
 "MCBV.24R1.B1"                       0                  0                  0                  0
 "MCBH.25R1.B1"                       0                  0   -3.064658726e-06                  0
 "MCBV.26R1.B1"                       0                  0                  0                  0
 "MCBH.27R1.B1"                       0                  0    4.023807123e-06                  0
 "MCBV.28R1.B1"                       0                  0                  0                  0
 "MCBH.29R1.B1"                       0                  0   -1.226130116e-07                  0
 "MCBV.30R1.B1"                       0                  0                  0                  0
 "MCBH.31R1.B1"                       0                  0   -4.528695426e-07                  0
 "MCBV.32R1.B1"                       0                  0                  0                  0
 "MCBH.33R1.B1"                       0                  0   -4.318400752e-07                  0
 "MCBV.34L2.B1"                       0                  0                  0                  0
 "MCBH.33L2.B1"                       0                  0   -1.852065092e-06                  0
 "MCBV.32L2.B1"                       0                  0                  0                  0
 "MCBH.31L2.B1"                       0                  0    1.717383042e-06                  0
 "MCBV.30L2.B1"                       0                  0                  0                  0
 "MCBH.29L2.B1"                       0                  0   -1.314771478e-06                  0
 "MCBV.28L2.B1"                       0                  0                  0                  0
 "MCBH.27L2.B1"                       0                  0   -3.382028081e-06                  0
 "MCBV.26L2.B1"                       0                  0                  0                  0
 "MCBH.25L2.B1"                       0                  0   -7.708778139e-07                  0
 "MCBV.24L2.B1"                       0                  0                  0                  0
 "MCBH.23L2.B1"                       0                  0   -1.621322124e-06                  0
 "MCBV.22L2.B1"                       0                  0                  0                  0
 "MCBH.21L2.B1"                       0                  0    1.528130815e-07                  0
 "MCBV.20L2.B1"                       0                  0                  0                  0
 "MCBH.19L2.B1"                       0                  0     9.67357948e-07                  0
 "MCBV.18L2.B1"                       0                  0                  0                  0
 "MCBH.17L2.B1"                       0                  0    2.494607586e-06                  0
 "MCBV.16L2.B1"                       0                  0                  0                  0
 "MCBH.15L2.B1"                       0                  0   -9.569793474e-07                  0
 "MCBV.14L2.B1"                       0                  0                  0                  0
 "MCBH.13L2.B1"                       0                  0    9.187432588e-07                  0
 "MCBV.12L2.B1"                       0                  0                  0                  0
 "MCBH.11L2.B1"                       0                  0    -1.07702415e-06                  0
 "MCBCV.10L2.B1"                      0                  0                  0                  0
 "MCBCH.9L2.B1"                       0                  0      7.4153686e-08                  0
 "MCBCV.8L2.B1"                       0                  0                  0                  0
 "MCBCH.7L2.B1"                       0                  0   -1.216588589e-08                  0
 "MCBCV.6L2.B1"                       0                  0                  0                  0
 "MSIB.C6L2.B1"                       0                  0                  0                  0
 "MSIB.B6L2.B1"                       0                  0                  0                  0
 "MSIB.A6L2.B1"                       0                  0                  0                  0
 "MSIA.B6L2.B1"                       0                  0                  0                  0
 "MSIA.A6L2.B1"                       0                  0                  0                  0
 "MCBYH.B5L2.B1"                      0                  0     2.88100091e-08                  0
 "MCBYV.5L2.B1"                       0                  0                  0                  0
 "MCBYH.A5L2.B1"                      0                  0   -2.642617437e-08                  0
 "MKI.D5L2.B1"                        0                  0                  0                  0
 "MKI.C5L2.B1"                        0                  0                  0                  0
 "MKI.B5L2.B1"                        0                  0                  0                  0
 "MKI.A5L2.B1"                        0                  0                  0                  0
 "MCBYV.B4L2.B1"                      0                  0                  0                  0
 "MCBYH.4L2.B1"                       0                  0   -2.150925837e-11                  0
 "MCBYV.A4L2.B1"                      0                  0                  0                  0
 "MCBXH.3L2"                          0                  0    2.459108373e-09                  0
 "MCBXV.3L2"                          0                  0                  0                  0
 "MCBXH.2L2"                          0                  0   -9.071330169e-09                  0
 "MCBXV.2L2"                          0                  0                  0                  0
 "MCBXH.1L2"                          0                  0    4.701999387e-09                  0
 "MCBXV.1L2"                          0                  0                  0                  0
 "MBXWT.1L2"                          0                  0                  0                  0
 "MBWMD.1L2"                          0                  0                  0                  0
 "MBAW.1R2"                           0                  0                  0                  0
 "MBXWT.1R2"                          0                  0                  0                  0
 "MCBXH.1R2"                          0                  0   -5.539581252e-09                  0
 "MCBXV.1R2"                          0                  0                  0                  0
 "MCBXH.2R2"                          0                  0    5.345749742e-09                  0
 "MCBXV.2R2"                          0                  0                  0                  0
 "MCBXH.3R2"                          0                  0   -2.139025582e-09                  0
 "MCBXV.3R2"                          0                  0                  0                  0
 "MCBYH.A4R2.B1"                      0                  0    -1.58350872e-09                  0
 "MCBYV.4R2.B1"                       0                  0                  0                  0
 "MCBYH.B4R2.B1"                      0                  0    2.515503638e-09                  0
 "MCBCV.A5R2.B1"                      0                  0                  0                  0
 "MCBCH.5R2.B1"                       0                  0   -3.445519724e-09                  0
 "MCBCV.B5R2.B1"                      0                  0                  0                  0
 "MCBCH.6R2.B1"                       0                  0    8.099681509e-09                  0
 "MCBCV.7R2.B1"                       0                  0                  0                  0
 "MCBCH.8R2.B1"                       0                  0   -4.231411731e-08                  0
 "MCBCV.9R2.B1"                       0                  0                  0                  0
 "MCBCH.10R2.B1"                      0                  0     3.47701076e-07                  0
 "MCBV.11R2.B1"                       0                  0                  0                  0
 "MCBH.12R2.B1"                       0                  0    2.951054601e-06                  0
 "MCBV.13R2.B1"                       0                  0                  0                  0
 "MCBH.14R2.B1"                       0                  0   -2.157313284e-06                  0
 "MCBV.15R2.B1"                       0                  0                  0                  0
 "MCBH.16R2.B1"                       0                  0   -1.889925625e-07                  0
 "MCBV.17R2.B1"                       0                  0                  0                  0
 "MCBH.18R2.B1"                       0                  0    6.974356947e-07                  0
 "MCBV.19R2.B1"                       0                  0                  0                  0
 "MCBH.20R2.B1"                       0                  0    2.642476233e-06                  0
 "MCBV.21R2.B1"                       0                  0                  0                  0
 "MCBH.22R2.B1"                       0                  0    1.255405659e-07                  0
 "MCBV.23R2.B1"                       0                  0                  0                  0
 "MCBH.24R2.B1"                       0                  0   -1.485590765e-07                  0
 "MCBV.25R2.B1"                       0                  0                  0                  0
 "MCBH.26R2.B1"                       0                  0    1.089585014e-06                  0
 "MCBV.27R2.B1"                       0                  0                  0                  0
 "MCBH.28R2.B1"                       0                  0    1.956761582e-06                  0
 "MCBV.29R2.B1"                       0                  0                  0                  0
 "MCBH.30R2.B1"                       0                  0   -8.663261542e-07                  0
 "MCBV.31R2.B1"                       0                  0                  0                  0
 "MCBH.32R2.B1"                       0                  0    9.587506647e-07                  0
 "MCBV.33R2.B1"                       0                  0                  0                  0
 "MCBH.34L3.B1"                       0                  0    -4.99542919e-07                  0
 "MCBV.33L3.B1"                       0                  0                  0                  0
 "MCBH.32L3.B1"                       0                  0   -5.863432889e-07                  0
 "MCBV.31L3.B1"                       0                  0                  0                  0
 "MCBH.30L3.B1"                       0                  0     1.03618158e-06                  0
 "MCBV.29L3.B1"                       0                  0                  0                  0
 "MCBH.28L3.B1"                       0                  0   -2.133560134e-06                  0
 "MCBV.27L3.B1"                       0                  0                  0                  0
 "MCBH.26L3.B1"                       0                  0   -4.050223157e-06                  0
 "MCBV.25L3.B1"                       0                  0                  0                  0
 "MCBH.24L3.B1"                       0                  0     7.12071138e-07                  0
 "MCBV.23L3.B1"                       0                  0                  0                  0
 "MCBH.22L3.B1"                       0                  0   -2.506348246e-07                  0
 "MCBV.21L3.B1"                       0                  0                  0                  0
 "MCBH.20L3.B1"                       0                  0    2.996814437e-06                  0
 "MCBV.19L3.B1"                       0                  0                  0                  0
 "MCBH.18L3.B1"                       0                  0    2.161488868e-06                  0
 "MCBV.17L3.B1"                       0                  0                  0                  0
 "MCBH.16L3.B1"                       0                  0   -9.576981938e-09                  0
 "MCBV.15L3.B1"                       0                  0                  0                  0
 "MCBH.14L3.B1"                       0                  0    2.913083183e-06                  0
 "MCBV.13L3.B1"                       0                  0                  0                  0
 "MCBH.12L3.B1"                       0                  0    4.126750864e-07                  0
 "MCBV.11L3.B1"                       0                  0                  0                  0
 "MCBCH.10L3.B1"                      0                  0   -1.077446854e-06                  0
 "MCBCV.9L3.B1"                       0                  0                  0                  0
 "MCBCH.8L3.B1"                       0                  0    4.089407157e-06                  0
 "MCBCV.7L3.B1"                       0                  0                  0                  0
 "MCBCH.6L3.B1"                       0                  0   -1.322090247e-07                  0
 "MCBWV.5L3.B1"                       0                  0                  0                  0
 "MCBWH.4L3.B1"                       0                  0    4.175875347e-09                  0
 "MCBWV.4R3.B1"                       0                  0                  0                  0
 "MCBWH.5R3.B1"                       0                  0     1.41438486e-08                  0
 "MCBCV.6R3.B1"                       0                  0                  0                  0
 "MCBCH.7R3.B1"                       0                  0   -1.608837163e-06                  0
 "MCBCV.8R3.B1"                       0                  0                  0                  0
 "MCBCH.9R3.B1"                       0                  0    1.240673359e-06                  0
 "MCBCV.10R3.B1"                      0                  0                  0                  0
 "MCBH.11R3.B1"                       0                  0   -3.685077827e-07                  0
 "MCBV.12R3.B1"                       0                  0                  0                  0
 "MCBH.13R3.B1"                       0                  0    1.179240935e-07                  0
 "MCBV.14R3.B1"                       0                  0                  0                  0
 "MCBH.15R3.B1"                       0                  0   -1.626935904e-06                  0
 "MCBV.16R3.B1"                       0                  0                  0                  0
 "MCBH.17R3.B1"                       0                  0   -1.494031632e-06                  0
 "MCBV.18R3.B1"                       0                  0                  0                  0
 "MCBH.19R3.B1"                       0                  0    -2.52030004e-07                  0
 "MCBV.20R3.B1"                       0                  0                  0                  0
 "MCBH.21R3.B1"                       0                  0    1.768620568e-06                  0
 "MCBV.22R3.B1"                       0                  0                  0                  0
 "MCBH.23R3.B1"                       0                  0   -3.223553766e-06                  0
 "MCBV.24R3.B1"                       0                  0                  0                  0
 "MCBH.25R3.B1"                       0                  0    9.539558087e-07                  0
 "MCBV.26R3.B1"                       0                  0                  0                  0
 "MCBH.27R3.B1"                       0                  0    3.973748069e-06                  0
 "MCBV.28R3.B1"                       0                  0                  0                  0
 "MCBH.29R3.B1"                       0                  0   -1.521251746e-06                  0
 "MCBV.30R3.B1"                       0                  0                  0                  0
 "MCBH.31R3.B1"                       0                  0   -1.236799581e-07                  0
 "MCBV.32R3.B1"                       0                  0                  0                  0
 "MCBH.33R3.B1"                       0                  0    3.766913665e-06                  0
 "MCBV.34L4.B1"                       0                  0                  0                  0
 "MCBH.33L4.B1"                       0                  0    1.580782002e-06                  0
 "MCBV.32L4.B1"                       0                  0                  0                  0
 "MCBH.31L4.B1"                       0                  0   -2.240132308e-06                  0
 "MCBV.30L4.B1"                       0                  0                  0                  0
 "MCBH.29L4.B1"                       0                  0     -1.0526228e-06                  0
 "MCBV.28L4.B1"                       0                  0                  0                  0
 "MCBH.27L4.B1"                       0                  0    1.435485319e-06                  0
 "MCBV.26L4.B1"                       0                  0                  0                  0
 "MCBH.25L4.B1"                       0                  0    2.795991604e-07                  0
 "MCBV.24L4.B1"                       0                  0                  0                  0
 "MCBH.23L4.B1"                       0                  0    1.336058813e-08                  0
 "MCBV.22L4.B1"                       0                  0                  0                  0
 "MCBH.21L4.B1"                       0                  0   -2.455847338e-06                  0
 "MCBV.20L4.B1"                       0                  0                  0                  0
 "MCBH.19L4.B1"                       0                  0   -1.107756631e-06                  0
 "MCBV.18L4.B1"                       0                  0                  0                  0
 "MCBH.17L4.B1"                       0                  0      2.3508952e-06                  0
 "MCBV.16L4.B1"                       0                  0                  0                  0
 "MCBH.15L4.B1"                       0                  0    1.259458222e-07                  0
 "MCBV.14L4.B1"                       0                  0                  0                  0
 "MCBH.13L4.B1"                       0                  0    1.637971029e-06                  0
 "MCBV.12L4.B1"                       0                  0                  0                  0
 "MCBH.11L4.B1"                       0                  0    1.624988276e-06                  0
 "MCBCV.10L4.B1"                      0                  0                  0                  0
 "MCBCH.9L4.B1"                       0                  0   -9.467439668e-08                  0
 "MCBCV.8L4.B1"                       0                  0                  0                  0
 "MCBCH.7L4.B1"                       0                  0    1.520261048e-08                  0
 "MCBYV.6L4.B1"                       0                  0                  0                  0
 "MKQA.6L4.B1"                        0                  0                  0                  0
 "MCBYH.5L4.B1"                       0                  0   -1.173612645e-09                  0
 "MU.A5R4.B1"                         0                  0                  0                  0
 "MU.B5R4.B1"                         0                  0                  0                  0
