@ NAME             %04s "CORR"
@ TYPE             %04s "CORR"
@ TITLE            %51s "LHC 6.5 with errors and orbit correction using MADX"
@ ORIGIN           %19s "MAD-X 4.01.42 Linux"
@ DATE             %08s "07/03/11"
@ TIME             %08s "07.50.25"
* NAME                           PX.OLD             PY.OLD      PX.CORRECTION      PY.CORRECTION 
$ %s                                %le                %le                %le                %le 
 "MCBXH.1R1"                          0                  0                  0                  0
 "MCBXV.1R1"                          0                  0                  0   -1.000620984e-05
 "MCBXH.2R1"                          0                  0                  0                  0
 "MCBXV.2R1"                          0                  0                  0     5.55442557e-09
 "MCBXH.3R1"                          0                  0                  0                  0
 "MCBXV.3R1"                          0                  0                  0   -1.069234258e-09
 "MCBYV.A4R1.B1"                      0                  0                  0   -3.678731248e-05
 "MCBYH.4R1.B1"                       0                  0                  0                  0
 "MCBYV.B4R1.B1"                      0                  0                  0    7.658165414e-06
 "MCBCH.5R1.B1"                       0                  0                  0                  0
 "MCBCV.6R1.B1"                       0                  0                  0    5.942489207e-05
 "MCBCH.7R1.B1"                       0                  0                  0                  0
 "MCBCV.8R1.B1"                       0                  0                  0   -9.187679098e-09
 "MCBCH.9R1.B1"                       0                  0                  0                  0
 "MCBCV.10R1.B1"                      0                  0                  0   -1.842704514e-07
 "MCBH.11R1.B1"                       0                  0                  0                  0
 "MCBV.12R1.B1"                       0                  0                  0   -5.524896085e-06
 "MCBH.13R1.B1"                       0                  0                  0                  0
 "MCBV.14R1.B1"                       0                  0                  0    1.651284634e-06
 "MCBH.15R1.B1"                       0                  0                  0                  0
 "MCBV.16R1.B1"                       0                  0                  0   -3.354539629e-06
 "MCBH.17R1.B1"                       0                  0                  0                  0
 "MCBV.18R1.B1"                       0                  0                  0   -2.773841145e-06
 "MCBH.19R1.B1"                       0                  0                  0                  0
 "MCBV.20R1.B1"                       0                  0                  0   -2.208390972e-06
 "MCBH.21R1.B1"                       0                  0                  0                  0
 "MCBV.22R1.B1"                       0                  0                  0    2.842199756e-06
 "MCBH.23R1.B1"                       0                  0                  0                  0
 "MCBV.24R1.B1"                       0                  0                  0   -1.908356935e-07
 "MCBH.25R1.B1"                       0                  0                  0                  0
 "MCBV.26R1.B1"                       0                  0                  0    2.279134933e-06
 "MCBH.27R1.B1"                       0                  0                  0                  0
 "MCBV.28R1.B1"                       0                  0                  0   -3.466063179e-06
 "MCBH.29R1.B1"                       0                  0                  0                  0
 "MCBV.30R1.B1"                       0                  0                  0    9.440305876e-07
 "MCBH.31R1.B1"                       0                  0                  0                  0
 "MCBV.32R1.B1"                       0                  0                  0   -8.703895728e-07
 "MCBH.33R1.B1"                       0                  0                  0                  0
 "MCBV.34L2.B1"                       0                  0                  0    2.516182431e-07
