@ NAME             %04s "SUMM"
@ TYPE             %04s "SUMM"
@ TITLE            %55s "Matching chromaticity for the LHC 6.4 lattice with MADX"
@ ORIGIN           %19s "MAD-X 4.00.19 Linux"
@ DATE             %08s "05/05/09"
@ TIME             %08s "11.21.33"
*             LENGTH             ORBIT5               ALFA            GAMMATR                 Q1                DQ1            BETXMAX              DXMAX              DXRMS             XCOMAX             XCORMS                 Q2                DQ2            BETYMAX              DYMAX              DYRMS             YCOMAX             YCORMS             DELTAP            SYNCH_1            SYNCH_2            SYNCH_3            SYNCH_4            SYNCH_5 
$                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le 
         26658.8832                  0    0.0003213201286         55.7867465        64.31119807       -4.002824955        5152.820211        2.927854799        1.405213312     0.008154957498     0.001531474912        59.31626585        7.110734517        4023.704659       0.9294680863       0.1290352748     0.005979170137     0.000529013378             -0.001                  0                  0                  0                  0                  0
         26658.8832                  0    0.0003213262738        55.78621305        64.31082254       -3.510597373        5074.061055        2.928709476        1.405205305     0.008130783671     0.001404156464        59.31693856        6.350048488        4065.512186       0.9523509687       0.1313187064     0.006020319519    0.0005278250412            -0.0009                  0                  0                  0                  0                  0
         26658.8832                  0    0.0003213324358        55.78567815         64.3104973       -2.993416244        4996.108178        2.929454653        1.405196207     0.008106004482     0.001279620508        59.31753684        5.619346325         4106.47349       0.9750420468       0.1336528427     0.006062150317    0.0005269319571            -0.0008                  0                  0                  0                  0                  0
         26658.8832                  0    0.0003213386133        55.78514194        64.31022493       -2.451774042        4918.977687         2.93008419        1.405185708     0.008080620643     0.001158757566        59.31806358        4.918653162        4146.580923       0.9975129546       0.1360381989     0.006104707843    0.0005263552372            -0.0007                  0                  0                  0                  0                  0
         26658.8832                  0    0.0003213448044        55.78460455        64.31000791       -1.886084005        4842.683304        2.930591777        1.405173481     0.008054633175     0.001042837705        59.31852176        4.248028958        4185.827844        1.019734114        0.138474959      0.00614803578    0.0005261162115            -0.0006                  0                  0                  0                  0                  0
         26658.8832                  0    0.0003213510074        55.78406614        64.30984863       -1.296680113        4767.235349        2.930970959        1.405159184     0.008028043497    0.0009336950125        59.31891436        3.607564611        4224.207548        1.041674581       0.1409629306     0.006192175856    0.0005262363024            -0.0005                  0                  0                  0                  0                  0
         26658.8832                  0    0.0003213572204        55.78352689        64.30974946      -0.6838165694        4692.640557        2.931215148        1.405142459     0.008000853504    0.0008339845147         59.3192444        2.997378897        4261.712785        1.063301889       0.1435014995     0.006237167484    0.0005267368843            -0.0004                  0                  0                  0                  0                  0
         26658.8832                  0    0.0003213634412        55.78298697        64.30971275     -0.04766694014        4618.902179        2.931317646        1.405122932     0.007973065661    0.0007474790925        59.31951492        2.417615788        4298.335493        1.084581884       0.1460895841     0.006283047413     0.000527639128            -0.0003                  0                  0                  0                  0                  0
         26658.8832                  0    0.0003213696675        55.78244659        64.30974081       0.6116770384        4546.020175        2.931271667         1.40510021     0.007944683082    0.0006792302144        59.31972898        1.868442007        4334.066621         1.10547856       0.1487255905     0.006329849348    0.0005289638331            -0.0002                  0                  0                  0                  0                  0
         26658.8832                  0    0.0003213758969        55.78190596        64.30983594        1.294207015        4473.991447        2.931070364        1.405073889     0.007915709614    0.0006351367877        59.31988965        1.350044745        4368.895994        1.125953891       0.1514073686     0.006377603569    0.0005307312488            -0.0001                  0                  0                  0                  0                  0
         26658.8832                  0    0.0003213821268         55.7813653        64.31000046                  2        4402.810079        2.930706853        1.405043549     0.007886149925    0.0006203565616        59.32000003       0.8626294796        4402.813092         1.14596767       0.1541321689     0.006426336543    0.0005329608865    1.897353802e-19                  0                  0                  0                  0                  0
         26658.8832                  0    0.0003213883542        55.78082486        64.31023669         2.72922084        4338.086526        2.930174248        1.405008757     0.007856009575    0.0006369190826        59.32006325       0.4064178778        4451.182554        1.165477351       0.1568966009     0.006476070513     0.000535671326             0.0001                  0                  0                  0                  0                  0
