@ NAME             %04s "SUMM"
@ TYPE             %04s "SUMM"
@ TITLE            %55s "Matching chromaticity for the LHC 6.4 lattice with MADX"
@ ORIGIN           %19s "MAD-X 4.00.19 Linux"
@ DATE             %08s "05/05/09"
@ TIME             %08s "11.23.19"
*             LENGTH             ORBIT5               ALFA            GAMMATR                 Q1                DQ1            BETXMAX              DXMAX              DXRMS             XCOMAX             XCORMS                 Q2                DQ2            BETYMAX              DYMAX              DYRMS             YCOMAX             YCORMS             DELTAP            SYNCH_1            SYNCH_2            SYNCH_3            SYNCH_4            SYNCH_5 
$                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le 
         26658.8832                  0    0.0003213109403        55.78754414         64.3073031        4.120127043        4786.589001        2.910212267        1.405014736     0.008159630133     0.001531472933        59.31718661        4.423810862        4148.065384        1.001799995       0.1354883882     0.005960044199    0.0005288104032             -0.001                  0                  0                  0                  0                  0
         26658.8832                  0    0.0003213182603        55.78690868        64.30769451        3.706241686          4753.4716        2.912740683         1.40501669     0.008134542993     0.001404168348        59.31760607        3.967441623         4179.85506        1.020341145       0.1373489121     0.006003957857    0.0005275578101            -0.0009                  0                  0                  0                  0                  0
         26658.8832                  0    0.0003213255459        55.78627623        64.30804679        3.339295888        4718.839845        2.915174352        1.405019718     0.008108955117     0.001279642978        59.31798217         3.55784549        4210.329007        1.038164655       0.1392318628     0.006048504809    0.0005266339379            -0.0008                  0                  0                  0                  0                  0
         26658.8832                  0    0.0003213327937        55.78564709        64.30836462        3.018594926        4682.830347        2.917509369        1.405023536     0.008082864956     0.001158787142        59.31831961        3.195294845        4239.457177        1.055200822       0.1411306559     0.006093687254    0.0005260560267            -0.0007                  0                  0                  0                  0                  0
         26658.8832                  0    0.0003213399998        55.78502159         64.3086526        2.743381642         4645.57652        2.919741545        1.405027836     0.008056271408     0.001042870724        59.31862311        2.880079121        4267.207908        1.071377086        0.143037886     0.006139500316    0.0005258407138            -0.0006                  0                  0                  0                  0                  0
         26658.8832                  0    0.0003213471603        55.78440006        64.30891524        2.512848214        4607.207765        2.921866415        1.405032288     0.008029173882     0.000933727691        59.31889744        2.612500138        4293.547915        1.086618034       0.1449452835     0.006185931552     0.000526003812            -0.0005                  0                  0                  0                  0                  0
         26658.8832                  0    0.0003213542711        55.78378287        64.30915698          2.3261478        4567.848772        2.923879248        1.405036537     0.008001572362    0.0008340131253        59.31914738        2.392867464        4318.442302        1.100845462       0.1468436835     0.006232960467    0.0005265600736            -0.0004                  0                  0                  0                  0                  0
         26658.8832                  0    0.0003213613278         55.7831704        64.30938216        2.182405917        4527.618926        2.925775057        1.405040204     0.007973467471    0.0007475003911        59.31937775        2.221493748        4341.854603        1.113978506       0.1487230092     0.006280558062    0.0005275229464            -0.0003                  0                  0                  0                  0                  0
         26658.8832                  0    0.0003213683258        55.78256304        64.30959504        2.080731451        4486.631813        2.927548606        1.405042885     0.007944860545     0.000679242306         59.3195934        2.098690025         4363.74684        1.125933846       0.1505722704     0.006328686397    0.0005289043228            -0.0002                  0                  0                  0                  0                  0
         26658.8832                  0    0.0003213752604         55.7819612        64.30979978        2.020227216        4444.994831        2.929194432        1.405044151     0.007915753703    0.0006351404784        59.31979919        2.024760954        4384.079611        1.136625997        0.152379577     0.006377298207    0.0005307142905            -0.0001                  0                  0                  0                  0                  0
