@ NAME             %10s "STR.IP8.B1"
@ TYPE             %04s "USER"
@ TITLE            %54s "Matching an insertion of the LHC 6.4 lattice with MADX"
@ ORIGIN           %19s "MAD-X 4.00.19 Linux"
@ DATE             %08s "05/05/09"
@ TIME             %08s "11.32.41"
*                  N           KQ4.L8B1           KQ5.L8B1           KQ6.L8B1           KQ7.L8B1           KQ8.L8B1           KQ9.L8B1          KQ10.L8B1        KQTL11.L8B1         KQT12.L8B1         KQT13.L8B1           KQ4.R8B1           KQ5.R8B1           KQ6.R8B1           KQ7.R8B1           KQ8.R8B1           KQ9.R8B1          KQ10.R8B1        KQTL11.R8B1         KQT12.R8B1         KQT13.R8B1           BETA.IP8                TAR 
$                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le 
                  0    -0.004315244057      0.00528621334    -0.005102859058     0.008251678779    -0.005855275383      0.00707112548    -0.006393112363    0.0007073968935    -0.003086498894     0.003785429092     0.004397280237    -0.004213830349     0.004059143585    -0.006659809673     0.006925706451    -0.007461544868     0.007555727178    -0.004789660026    -0.001742097088    -0.003614371799                 10                  0
                  1    -0.004087893313     0.005368208403    -0.004601706007     0.008004194719    -0.006020484848     0.007199312673    -0.005644210293    0.0004791680032    -0.001736630476     0.005333619066     0.005047251419    -0.004106415162     0.004098471705    -0.006300068479      0.00565771351    -0.007499076403      0.00750510261    -0.005121872111    -0.003328509638    -0.002693023068                  9    1.448821165e-25
                  2     -0.00329378286       0.0051212215    -0.004337299384      0.00786033507    -0.006299880324     0.007339887322    -0.006222928222    0.0006511769477    -0.001125440474     0.005488402588     0.005073792381    -0.004190365361     0.004181956241    -0.006751031342     0.005579276936    -0.007433790289     0.007508587205    -0.005335348641    -0.003269475351    -0.002152029981                8.1    1.284153569e-25
                  3    -0.002557416345     0.004812639552    -0.004152465486     0.007767018223    -0.006674713225     0.007517030107    -0.007226338464    0.0009483931346    -0.000460290594     0.005463464921     0.004887586176    -0.004111490334     0.004212242402    -0.006881173331     0.005759679695    -0.007455215017     0.007518607825    -0.005341181045     -0.00319192333    -0.001517266052               7.29    2.417944112e-26
                  4    -0.002400004162     0.004727387873    -0.003908100511     0.007725445478    -0.007119647053     0.007609294233    -0.007807796178     0.001074271881   -0.0001944048766     0.005451745844     0.004746084836    -0.003989206894     0.004228065701    -0.006854959247     0.005809330231    -0.007471044215     0.007523634266     -0.00545275476    -0.003125011704    -0.001290160303              6.561    2.478310251e-25
                  5    -0.002374154436      0.00468805221    -0.003636018592     0.007690585111    -0.007408074865     0.007670035689    -0.008223526342     0.001159669622   -5.995400837e-05     0.005446748098     0.004624997499    -0.003901370324     0.004254262089    -0.006887019382     0.005848684002    -0.007470874629     0.007524818247    -0.005520039441    -0.003062224658    -0.001176723137             5.9049    1.082483806e-25
                  6    -0.002523877885     0.004734835038    -0.003372580563     0.007670566139    -0.007686659067     0.007697128439    -0.008345231439     0.001144661553    0.0001933424261     0.005507185917     0.004428710915    -0.003759010851     0.004272415149    -0.006823789843     0.006014833165    -0.007486740219     0.007528792549    -0.005532643876    -0.002939798754   -0.0009686907462            5.31441    6.335112541e-26
                  7    -0.002676808722     0.004765569835    -0.003150058479     0.007662141139    -0.007923522605     0.007700806314    -0.008334973442      0.00107704449    0.0005954639189     0.005496856485     0.004135410717    -0.003554350601     0.004297003147     -0.00671407002      0.00639129232    -0.007532693416     0.007540228719    -0.005528671261    -0.002658138793   -0.0006395428579           4.782969    8.742152385e-25
                  8    -0.002680455375     0.004719462718    -0.002883873839     0.007630568983    -0.008011914781      0.00772271197    -0.008504746646     0.001101230269    0.0006379208744     0.005493366487     0.004041577167      -0.0035150467     0.004347978435     -0.00681282256     0.006453244983    -0.007497973812     0.007536795934    -0.005528482437    -0.002567297767   -0.0005904685998          4.3046721    6.203067734e-25
                  9    -0.002701621045     0.004674565875    -0.002709537595     0.007618199167    -0.008089426833     0.007731365189    -0.008518259775      0.00107421393    0.0007099941773     0.005556572565     0.003919257904    -0.003451758688     0.004404603724    -0.006888363172     0.006584759064    -0.007476586096     0.007536107643    -0.005535521493    -0.002418424585   -0.0005159155728         3.87420489    6.098274565e-25
                 10    -0.002715178141     0.004621122491    -0.002521129391      0.00761031025    -0.008158291492     0.007734126422    -0.008541828298     0.001048773479    0.0007509497067     0.005555887889     0.003814559321    -0.003396980442      0.00446682968    -0.006968308296     0.006695390064    -0.007452785706     0.007534331231    -0.005541425984    -0.002286884405   -0.0004640233395        3.486784401    4.416285915e-25
                 11    -0.002726909445      0.00456618577    -0.002339053488     0.007607864292    -0.008221698366     0.007734343138    -0.008549348236     0.001019216411    0.0007696208241     0.005555298494     0.003728585202    -0.003349499852     0.004531854316    -0.007047139409     0.006775091679    -0.007426364379     0.007531354729    -0.005549324563    -0.002182452508   -0.0004307436671        3.138105961    9.276557854e-25
                 12    -0.002737206266     0.004511304649    -0.002156793753     0.007609618373    -0.008281719779     0.007733209699    -0.008549515745    0.0009881322564    0.0007737312806     0.005554830383     0.003656357068    -0.003308438236     0.004598665285    -0.007124342282     0.006830910503    -0.007397428958     0.007527111254    -0.005548786453    -0.002105240403   -0.0004104638372        2.824295365    9.735344527e-25
                 13    -0.002746908689     0.004455530908    -0.001989763862     0.007619720348    -0.008342159848      0.00772927195    -0.008529054188     0.000949635327    0.0007740712756     0.005554498282     0.003589123185    -0.003268076471     0.004668463427     -0.00719359344     0.006880686208    -0.007367574356     0.007522322975    -0.005544193854     -0.00203650765   -0.0003940711293        2.541865828    2.270921285e-25
                 14    -0.002755612466     0.004399191626    -0.001837192729     0.007638400646    -0.008404773378     0.007723330107    -0.008494154803    0.0009054889825    0.0007720224783     0.005554282182     0.003526568336    -0.003228478752     0.004740946039    -0.007252911601     0.006923427117     -0.00733589497     0.007516966739    -0.005537143527    -0.001975673391   -0.0003804790869        2.287679245    6.007210565e-25
                 15     -0.00276280657     0.004342393231    -0.001698647558     0.007665869833    -0.008470531212      0.00771611286    -0.008450566724    0.0008574116334    0.0007687221557      0.00555415883     0.003468362042    -0.003189974628     0.004815876135    -0.007300971522     0.006958617772    -0.007301602639     0.007511025386    -0.005528882577     -0.00192202902   -0.0003688024335        2.058911321    3.735698683e-25
                 16    -0.002767921186      0.00428507934    -0.001573764363     0.007702262604    -0.008539569759     0.007708256539    -0.008403365701    0.0008070310314    0.0007650376291     0.005554112086     0.003414268634    -0.003153153994     0.004893102109    -0.007337630535     0.006986075709    -0.007264171782     0.007504494027     -0.00552037899    -0.001874971376   -0.0003584208775        1.853020189    4.056316435e-25
                 17     -0.00274316813     0.004211494198    -0.001429221517      0.00773415495    -0.008539911072     0.007700067843    -0.008361475596    0.0007676653927    0.0007370410312      0.00555436352     0.003385566475    -0.003152771387     0.004979788644    -0.007569864876     0.007008495283    -0.007253489904     0.007499562616    -0.005522152322    -0.001853860404   -0.0003747580024         1.66771817    9.315043742e-25
                 18    -0.002721883879     0.004139676489     -0.00129846386     0.007777118557    -0.008540317586     0.007691036488    -0.008314857786    0.0007258859347    0.0007114392001     0.005554631243     0.003354349505    -0.003145240347     0.005067971105    -0.007788073197     0.007034624851    -0.007250673325     0.007494870877    -0.005519057146    -0.001841676061   -0.0003924810763        1.500946353    6.885868434e-25
                 19      -0.0027034558     0.004069869801    -0.001178295872     0.007830576987    -0.008540773246     0.007681259502    -0.008264473644    0.0006819627451    0.0006879660607     0.005554936714     0.003321905752    -0.003133100567     0.005157976362    -0.007993811174     0.007062287038    -0.007252571354     0.007490186198    -0.005512020534    -0.001836924437   -0.0004111377849        1.350851718    1.064274118e-24
                 20    -0.002687397802     0.004002235479    -0.001066096871     0.007894125895    -0.008541261465     0.007670806093    -0.008211039175     0.000636070705    0.0006664436741     0.005555291476      0.00328900102    -0.003117888941     0.005250203936    -0.008188612021      0.00709036959    -0.007257402783     0.007485379295     -0.00550176166    -0.001838554398   -0.0004304176716        1.215766546    2.274375706e-25
                 21    -0.002673315646      0.00393686213   -0.0009597074586     0.007967525827    -0.008541762455     0.007659725255    -0.008155088748    0.0005883153478    0.0006467275534     0.005555702484     0.003256110771    -0.003100601299     0.005345089752    -0.008373928622     0.007118340021    -0.007264106298     0.007480374153    -0.005488858286    -0.001845737296   -0.0004501011079        1.094189891    4.488638115e-26
