@ NAME             %02s "R1"
@ TYPE             %04s "USER"
@ TITLE            %08s "no-title"
@ ORIGIN           %19s "MAD-X 4.01.34 Linux"
@ DATE             %08s "18/11/10"
@ TIME             %08s "16.14.55"
* NAME                              C11                C12                C21                C22 
$ %s                                %le                %le                %le                %le 
 "CHICANE$START"                      1                  0                  0                  1
 "SEDFT"                              1                1.2                  0                  1
 "BEND1"                   0.8660254038        2.971082139                  0        1.154700538
 "MIDDFT1"                 0.8660254038        4.703132947                  0        1.154700538
 "QF1"                      0.752077421         4.30577583       -1.108419895       -5.016248977
 "MIDDFT2"                0.08066053349        1.267221316       -1.108419895       -5.016248977
 "QD"                     -0.1454273304       0.3716193348        -1.15009533       -3.937377773
 "MIDDFT2"                -0.8662253284       -2.096049163        -1.15009533       -3.937377773
 "QF2"                    -0.9740918321       -2.580796384       0.1110628985      -0.7323429369
 "MIDDFT1"                -0.8002246676       -3.727267361       0.1110628985      -0.7323429369
 "BEND2"                  -0.5268589138       -5.164793733       0.1157558289       -0.763287874
 "SEDFT"                  -0.3806130553       -6.129131266       0.1157558289       -0.763287874
 "THEEND"                 -0.3806130553       -6.129131266       0.1157558289       -0.763287874
 "CHICANE$END"            -0.3806130553       -6.129131266       0.1157558289       -0.763287874
