@ NAME             %02s "R3"
@ TYPE             %04s "USER"
@ TITLE            %08s "no-title"
@ ORIGIN           %19s "MAD-X 4.01.34 Linux"
@ DATE             %08s "18/11/10"
@ TIME             %08s "16.14.55"
* NAME                              C51                C52                C55                C56                C66 
$ %s                                %le                %le                %le                %le                %le 
 "CHICANE$START"                      0                  0                  1                  0                  1
 "SEDFT"                              0                  0                  1    -2.58967459e-05                  1
 "BEND1"                  -0.5000053951       -1.117650149                  1      0.09111107877                  1
 "MIDDFT1"                -0.5000053951       -1.117650149                  1      0.09107870784                  1
 "QF1"                    -0.4938717974       -1.093164277                  1      0.08525814924                  1
 "MIDDFT2"                 -0.440452648      -0.8514113504                  1      0.02041171359                  1
 "QD"                     -0.4128228756      -0.7438504808                  1    -0.006761524958                  1
 "MIDDFT2"                -0.2908421396        -0.32624663                  1      -0.1063844425                  1
 "QF2"                    -0.2834167012      -0.3071938044                  1      -0.1115180142                  1
 "MIDDFT1"                -0.2542789234      -0.4993267857                  1     -0.09211315292                  1
 "BEND2"                  -0.5622600434       -3.048445412                  1        0.448001513                  1
 "SEDFT"                  -0.5353963807       -3.225582997                  1       0.5868360752                  1
 "THEEND"                 -0.5353963807       -3.225582997                  1       0.5868360752                  1
 "CHICANE$END"            -0.5353963807       -3.225582997                  1       0.5868360752                  1
