@ NAME             %02s "T2"
@ TYPE             %04s "USER"
@ TITLE            %08s "no-title"
@ ORIGIN           %19s "MAD-X 4.01.34 Linux"
@ DATE             %08s "18/11/10"
@ TIME             %08s "16.14.55"
* NAME                             C111               C112               C113               C566               C556               C656               C666 
$ %s                                %le                %le                %le                %le                %le                %le                %le 
 "CHICANE$START"                      0                  0                  0                  0                  0                  0                  0
 "SEDFT"                              0                  0                  0      3.8845538e-05                  0                  0                  0
 "BEND1"                              0      -0.5773502692                  0    0.0001013894823                  0                  0                  0
 "MIDDFT1"                            0      -0.5773502692                  0       0.2501580392                  0                  0                  0
 "QF1"                  -0.007686186582      -0.5654938427                  0       0.3132530122                  0                  0                  0
 "MIDDFT2"               -0.09578807808      -0.9171133295                  0        1.023489496                  0                  0                  0
 "QD"                     -0.1572927698       -1.262474447                  0        1.249773234                  0                  0                  0
 "MIDDFT2"                -0.4738795673       -3.154304049                  0        2.011077532                  0                  0                  0
 "QF2"                    -0.4525102634       -2.936682683                  0        2.087666837                  0                  0                  0
 "MIDDFT1"                 0.3066005059        2.582771096                  0        2.826840529                  0                  0                  0
 "BEND2"                    1.300669688        10.17605354                  0        5.216706133                  0                  0                  0
 "SEDFT"                    1.935166979        14.87164866                  0        6.000000221                  0                  0                  0
 "THEEND"                   1.935166979        14.87164866                  0        6.000000221                  0                  0                  0
 "CHICANE$END"              1.935166979        14.87164866                  0        6.000000221                  0                  0                  0
