@ NAME             %02s "R1"
@ TYPE             %04s "USER"
@ TITLE            %08s "no-title"
@ ORIGIN           %19s "MAD-X 4.01.36 Linux"
@ DATE             %08s "07/01/11"
@ TIME             %08s "11.52.11"
* NAME                              C11                C12                C21                C22 
$ %s                                %le                %le                %le                %le 
 "CHICANE$START"                      1                  0                  0                  1
 "SEDFT"                              1                1.2                  0                  1
 "BEND1"                   0.8660254038        2.971082139                  0        1.154700538
 "MIDDFT1"                 0.8660254038        4.703132947                  0        1.154700538
 "QF1"                     0.7525466827        4.307625035       -1.109329701       -5.021052484
 "MIDDFT2"                0.08694886228        1.294993544       -1.109329701       -5.021052484
 "QD"                     -0.1330440563        0.422964787       -1.139585855       -3.893411897
 "MIDDFT2"                -0.8167955691       -1.913082351       -1.139585855       -3.893411897
 "QF2"                    -0.9276400467        -2.40676797      0.05600762916      -0.9326921957
 "MIDDFT1"                 -0.843628603       -3.805806264      0.05600762916      -0.9326921957
 "BEND2"                  -0.6224053705       -5.097747868      0.06467203955       -1.076980181
 "SEDFT"                   -0.544798923       -6.390124085      0.06467203955       -1.076980181
 "THEEND"                  -0.544798923       -6.390124085      0.06467203955       -1.076980181
 "CHICANE$END"             -0.544798923       -6.390124085      0.06467203955       -1.076980181
