@ NAME             %02s "R3"
@ TYPE             %04s "USER"
@ TITLE            %08s "no-title"
@ ORIGIN           %19s "MAD-X 4.01.36 Linux"
@ DATE             %08s "07/01/11"
@ TIME             %08s "11.52.11"
* NAME                              C51                C52                C55                C56                C66 
$ %s                                %le                %le                %le                %le                %le 
 "CHICANE$START"                      0                  0                  1                  0                  1
 "SEDFT"                              0                  0                  1    -2.58967459e-05                  1
 "BEND1"                  -0.5001297982       -1.098036875                  1      0.08739237401                  1
 "MIDDFT1"                -0.5001297982       -1.058653008                  1      0.06692142267                  1
 "QF1"                    -0.4971236921       -1.045226032                  1       0.0632514643                  1
 "MIDDFT2"                -0.4634520484      -0.8913600958                  1      0.02039643567                  1
 "QD"                     -0.4548010573      -0.8563648026                  1      0.01155369076                  1
 "MIDDFT2"                -0.4343652173      -0.7861485658                  1    -0.003419440832                  1
 "QF2"                    -0.4314062096      -0.7733196273                  1    -0.006788558429                  1
 "MIDDFT1"                -0.4329801617       -0.747376877                  1     -0.01974742858                  1
 "BEND2"                  -0.8189824669       -3.087575509                  1        0.796386166                  1
 "SEDFT"                  -0.8206916103       -3.059399306                  1       0.7672870213                  1
 "THEEND"                 -0.8206916103       -3.059399306                  1       0.7672870213                  1
 "CHICANE$END"            -0.8206916103       -3.059399306                  1       0.7672870213                  1
