@ NAME             %02s "T2"
@ TYPE             %04s "USER"
@ TITLE            %08s "no-title"
@ ORIGIN           %19s "MAD-X 4.01.36 Linux"
@ DATE             %08s "07/01/11"
@ TIME             %08s "11.52.11"
* NAME                             C111               C566               C556 
$ %s                                %le                %le                %le 
 "CHICANE$START"                      0                  0                  0
 "SEDFT"                              0      3.8845538e-05                  0
 "BEND1"                              0    0.0001013894823       0.6000370526
 "MIDDFT1"                            0       0.2501580392       -0.399984528
 "QF1"                 -2.521337673e-11        0.291460663      -0.7321982405
 "MIDDFT2"             -3.127642393e-10       0.7758971146       -4.560423001
 "QD"                  -4.533152382e-10       0.8692504358       -5.400701555
 "MIDDFT2"             -1.066579985e-09         1.00517775       -6.973038627
 "QF2"                 -1.045377527e-09        1.043161085         -7.2837667
 "MIDDFT1"              3.998995145e-10        1.253051448       -8.023793283
 "BEND2"                 -0.02607148752        1.691200377       -12.21541236
 "SEDFT"                 -0.02752033722        2.538244539        -13.7509439
 "THEEND"                -0.02752033722        2.538244539        -13.7509439
 "CHICANE$END"           -0.02752033722        2.538244539        -13.7509439
