@ NAME             %02s "R1"
@ TYPE             %04s "USER"
@ TITLE            %08s "no-title"
@ ORIGIN           %19s "MAD-X 4.01.36 Linux"
@ DATE             %08s "07/01/11"
@ TIME             %08s "14.07.41"
* NAME                              C11                C12                C21                C22 
$ %s                                %le                %le                %le                %le 
 "CHICANE$START"                      1                  0                  0                  1
 "SEDFT"                              1                1.2                  0                  1
 "BEND1"                   0.8660254038        2.971082139                  0        1.154700538
 "MIDDFT1"                 0.8660254038        4.703132947                  0        1.154700538
 "QF1"                     0.7353351501         4.21259398       -1.272995039       -5.932820207
 "MIDDFT2"               -0.02846187324       0.6529018558       -1.272995039       -5.932820207
 "QD"                      -0.298516282      -0.4978453253        -1.48770843       -5.831000826
 "MIDDFT2"                  -1.19114134       -3.996445821        -1.48770843       -5.831000826
 "QF2"                     -1.293806739       -4.500274473       0.4876909072       0.9234323059
 "MIDDFT1"                -0.5622703781       -3.115126014       0.4876909072       0.9234323059
 "BEND2"                   0.4552060548       -0.913844036       0.5631369531        1.066287781
 "SEDFT"                    1.130970399       0.3657013008       0.5631369531        1.066287781
 "THEEND"                   1.130970399       0.3657013008       0.5631369531        1.066287781
 "CHICANE$END"              1.130970399       0.3657013008       0.5631369531        1.066287781
