@ NAME             %02s "R3"
@ TYPE             %04s "USER"
@ TITLE            %08s "no-title"
@ ORIGIN           %19s "MAD-X 4.01.36 Linux"
@ DATE             %08s "07/01/11"
@ TIME             %08s "14.07.41"
* NAME                              C51                C52                C55                C56                C66 
$ %s                                %le                %le                %le                %le                %le 
 "CHICANE$START"                      0                  0                  1                  0                  1
 "SEDFT"                              0                  0                  1    -2.58967459e-05                  1
 "BEND1"                  -0.5000053951       -1.117650149                  1      0.09111107877                  1
 "MIDDFT1"                -0.5000053951       -1.117650149                  1      0.09107870784                  1
 "QF1"                    -0.5000053951       -1.117650149                  1      0.09107439169                  1
 "MIDDFT2"                -0.5000053949       -1.117650147                  1      0.09106144304                  1
 "QD"                     -0.5000053948       -1.117650147                  1      0.09105712682                  1
 "MIDDFT2"                -0.5000053945       -1.117650146                  1      0.09104417819                  1
 "QF2"                    -0.5000053944       -1.117650146                  1      0.09103986204                  1
 "MIDDFT1"                -0.5000053944       -1.117650146                  1      0.09100749112                  1
 "BEND2"                  -0.5286935036       -2.197221067                  1       0.6898724814                  1
 "SEDFT"                  -0.5286935035       -2.197221067                  1       0.6898465848                  1
 "THEEND"                 -0.5286935035       -2.197221067                  1       0.6898465848                  1
 "CHICANE$END"            -0.5286935035       -2.197221067                  1       0.6898465848                  1
