@ NAME             %02s "T2"
@ TYPE             %04s "USER"
@ TITLE            %08s "no-title"
@ ORIGIN           %19s "MAD-X 4.01.36 Linux"
@ DATE             %08s "07/01/11"
@ TIME             %08s "14.07.41"
* NAME                             C111               C112               C113               C566               C556               C656               C666 
$ %s                                %le                %le                %le                %le                %le                %le                %le 
 "CHICANE$START"                      0                  0                  0                  0                  0                  0                  0
 "SEDFT"                              0                  0                  0      3.8845538e-05                  0                  0                  0
 "BEND1"                              0      -0.5773502692                  0    0.0001013894823                  0                  0                  0
 "MIDDFT1"                            0      -0.5773502692                  0       0.2501580392                  0                  0                  0
 "QF1"                 -3.832265533e-11      -0.4902234337                  0       0.3126544788                  0                  0                  0
 "MIDDFT2"             -4.717885632e-10      0.01897457778                  0        1.027565089                  0                  0                  0
 "QD"                  -7.176203199e-10       0.1990108482                  0        1.215369675                  0                  0                  0
 "MIDDFT2"             -1.876957143e-09       0.7940942103                  0        1.686242265                  0                  0                  0
 "QF2"                 -1.778120136e-09       0.8625378105                  0        1.744812554                  0                  0                  0
 "MIDDFT1"              1.541444556e-09       0.3748469311                  0         1.75007117                  0                  0                  0
 "BEND2"                 -0.06671700161       -1.133475379                  0        4.326679726                  0                  0                  0
 "SEDFT"                  -0.1765717071                 -2                  0        4.598961223                  0                  0                  0
 "THEEND"                 -0.1765717071                 -2                  0        4.598961223                  0                  0                  0
 "CHICANE$END"            -0.1765717071                 -2                  0        4.598961223                  0                  0                  0
