@ NAME             %07s "ROTATIONS"
@ TYPE             %07s "ROTATIONS"
@ TITLE            %11s "magnet rotations"
@ ORIGIN           %16s "MAD-X 2.12 Linux"
@ DATE             %08s "24/05/07"
@ TIME             %08s "15.00.00"
* NAME          YROTA      SROTA      INOUT
$ %s            %le        %le        %le
not found       -1         -1         -1
MQXA.1R1        180        0          0
MQXB.A2R1       180        0          0
MQXB.B2R1       180        0          0
MQSX.3R1        180        0          0
MQXA.3R1        0          0          0
MBXW.A4R1       0          0          0
MBXW.B4R1       0          0          0
MBXW.C4R1       0          0          0
MBXW.D4R1       0          0          0
MBXW.E4R1       0          0          0
MBXW.F4R1       0          0          0
MBRC.4R1        180        0          1
MQY.4R1         180        0          1
MQML.5R1        180        0          1
MQML.6R1        180        0          1
MQM.A7R1        0          0          1
MQM.B7R1        0          0          1
MQML.8R1        0          0          1
MQMC.9R1        0          0          1
MQM.9R1         0          0          1
MQML.10R1       0          0          1
MQTLI.11R1      180        0          1
MCBH.11R1       180        0          1
MCBV.11R1       180        0          1
MS.11R1         0          0          1
MQT.12R1        0          0          1
MS.12R1         0          0          1
MQT.13R1        0          0          1
MS.13R1         0          0          1
MQT.14R1        0          0          1
MS.14R1         0          0          1
MQT.15R1        0          0          1
MS.15R1         0          0          1
MQT.16R1        0          0          1
MS.16R1         0          0          1
MQT.17R1        0          0          1
MS.17R1         0          0          1
MQT.18R1        0          0          1
MS.18R1         0          0          1
MQT.19R1        0          0          1
MS.19R1         0          0          1
MQT.20R1        0          0          1
MS.20R1         0          0          1
MQT.21R1        0          0          1
MS.21R1         0          0          1
MO.22R1         0          0          1
MS.22R1         0          0          1
MQS.23R1        0          0          1
MS.23R1         0          0          1
MO.24R1         0          0          1
MS.24R1         0          0          1
MO.25R1         0          0          1
MS.25R1         0          0          1
MO.26R1         0          0          1
MS.26R1         0          0          1
MQS.27R1        0          0          1
MS.27R1         0          0          1
MO.28R1         0          0          1
MS.28R1         0          0          1
MO.29R1         0          0          1
MSS.29R1        0          0          1
MO.30R1         0          0          1
MS.30R1         0          0          1
MO.31R1         0          0          1
MS.31R1         0          0          1
MO.32R1         0          0          1
MS.32R1         0          0          1
MO.33R1         0          0          1
MSS.33R1        0          0          1
MO.34R1         0          0          1
MS.34L2         0          0          1
MO.33L2         0          0          1
MSS.33L2        0          0          1
MO.32L2         0          0          1
MS.32L2         0          0          1
MO.31L2         0          0          1
MS.31L2         0          0          1
MO.30L2         0          0          1
MS.30L2         0          0          1
MO.29L2         0          0          1
MSS.29L2        0          0          1
MO.28L2         0          0          1
MS.28L2         0          0          1
MQS.27L2        0          0          1
MS.27L2         0          0          1
MO.26L2         0          0          1
MS.26L2         0          0          1
MO.25L2         0          0          1
MS.25L2         0          0          1
MO.24L2         0          0          1
MS.24L2         0          0          1
MQS.23L2        0          0          1
MS.23L2         0          0          1
MO.22L2         0          0          1
MS.22L2         0          0          1
MQT.21L2        0          0          1
MS.21L2         0          0          1
MQT.20L2        0          0          1
MS.20L2         0          0          1
MQT.19L2        0          0          1
MS.19L2         0          0          1
MQT.18L2        0          0          1
MS.18L2         0          0          1
MQT.17L2        0          0          1
MS.17L2         0          0          1
MQT.16L2        0          0          1
MS.16L2         0          0          1
MQT.15L2        0          0          1
MS.15L2         0          0          1
MQT.14L2        0          0          1
MS.14L2         0          0          1
MQT.13L2        0          0          1
MS.13L2         0          0          1
MQT.12L2        0          0          1
MS.12L2         0          0          1
MQTLI.11L2      180        0          1
MCBH.11L2       180        0          1
MCBV.11L2       180        0          1
MS.11L2         0          0          1
MQML.10L2       0          0          1
MQMC.9L2        0          0          1
MQM.9L2         0          0          1
MQML.8L2        0          0          1
MQM.B7L2        0          0          1
MQM.A7L2        0          0          1
MQML.6L2        180        0          1
MQM.6L2         180        0          1
MQY.B5L2        180        0          1
MQY.A5L2        180        0          1
MQY.B4L2        0          0          1
MQY.A4L2        0          0          1
MBRC.4L2        0          0          1
MBX.4L2         180        0          0
MQXA.3L2        180        0          0
MQSX.3L2        0          0          0
MQXB.B2L2       0          0          0
MQXB.A2L2       0          0          0
MQXA.1L2        0          0          0
MBXWT.1L2       0          0          0
MBWMD.1L2       0          0          0
MBXWT.1R2       180        0          0
MQXA.1R2        180        0          0
MQXB.A2R2       180        0          0
MQXB.B2R2       180        0          0
MQSX.3R2        180        0          0
MQXA.3R2        0          0          0
MBX.4R2         0          0          0
MBRC.4R2        180        0          2
MQY.A4R2        180        0          2
MQY.B4R2        180        0          2
MQM.A5R2        180        0          2
MQM.B5R2        180        0          2
MQML.6R2        180        0          2
MQM.6R2         180        0          2
MQM.A7R2        0          0          2
MQM.B7R2        0          0          2
MQML.8R2        0          0          2
MQMC.9R2        0          0          2
MQM.9R2         0          0          2
MQML.10R2       0          0          2
MQTLI.11R2      180        0          2
MCBH.11R2       180        0          2
MCBV.11R2       180        0          2
MS.11R2         0          0          2
MQT.12R2        0          0          2
MS.12R2         0          0          2
MQT.13R2        0          0          2
MS.13R2         0          0          2
MQT.14R2        0          0          2
MS.14R2         0          0          2
MQT.15R2        0          0          2
MS.15R2         0          0          2
MQT.16R2        0          0          2
MS.16R2         0          0          2
MQT.17R2        0          0          2
MS.17R2         0          0          2
MQT.18R2        0          0          2
MS.18R2         0          0          2
MQT.19R2        0          0          2
MS.19R2         0          0          2
MQT.20R2        0          0          2
MS.20R2         0          0          2
MQT.21R2        0          0          2
MS.21R2         0          0          2
MO.22R2         0          0          2
MS.22R2         0          0          2
MQS.23R2        0          0          2
MS.23R2         0          0          2
MO.24R2         0          0          2
MS.24R2         0          0          2
MO.25R2         0          0          2
MS.25R2         0          0          2
MO.26R2         0          0          2
MS.26R2         0          0          2
MQS.27R2        0          0          2
MS.27R2         0          0          2
MO.28R2         0          0          2
MS.28R2         0          0          2
MO.29R2         0          0          2
MS.29R2         0          0          2
MO.30R2         0          0          2
MSS.30R2        0          0          2
MO.31R2         0          0          2
MS.31R2         0          0          2
MO.32R2         0          0          2
MS.32R2         0          0          2
MO.33R2         0          0          2
MS.33R2         0          0          2
MO.34R2         0          0          2
MSS.34L3        0          0          2
MO.33L3         0          0          2
MS.33L3         0          0          2
MO.32L3         0          0          2
MSS.32L3        0          0          2
MO.31L3         0          0          2
MS.31L3         0          0          2
MO.30L3         0          0          2
MS.30L3         0          0          2
MO.29L3         0          0          2
MS.29L3         0          0          2
MO.28L3         0          0          2
MSS.28L3        0          0          2
MQS.27L3        0          0          2
MS.27L3         0          0          2
MO.26L3         0          0          2
MS.26L3         0          0          2
MO.25L3         0          0          2
MS.25L3         0          0          2
MO.24L3         0          0          2
MS.24L3         0          0          2
MQS.23L3        0          0          2
MS.23L3         0          0          2
MO.22L3         0          0          2
MS.22L3         0          0          2
MQT.21L3        0          0          2
MS.21L3         0          0          2
MQT.20L3        0          0          2
MS.20L3         0          0          2
MQT.19L3        0          0          2
MS.19L3         0          0          2
MQT.18L3        0          0          2
MS.18L3         0          0          2
MQT.17L3        0          0          2
MS.17L3         0          0          2
MQT.16L3        0          0          2
MS.16L3         0          0          2
MQT.15L3        0          0          2
MS.15L3         0          0          2
MQT.14L3        0          0          2
MS.14L3         0          0          2
MQT.13L3        0          0          2
MS.13L3         0          0          2
MQT.12L3        0          0          2
MS.12L3         0          0          2
MQTLI.11L3      180        0          2
MCBH.11L3       180        0          2
MCBV.11L3       180        0          2
MS.11L3         0          0          2
MQTLI.10L3      180        0          2
MQTLI.B9L3      180        0          2
MQTLI.A9L3      180        0          2
MQTLI.8L3       180        0          2
MQTLI.7L3       180        0          2
MQTLH.F6L3      0          0          2
MQTLH.E6L3      0          0          2
MQTLH.D6L3      0          0          2
MQTLH.C6L3      0          0          2
MQTLH.B6L3      0          0          2
MQTLH.A6L3      0          0          2
MBW.F6L3        0          0          2
MBW.E6L3        0          0          2
MBW.D6L3        0          0          2
MBW.C6L3        180        0          2
MBW.B6L3        180        0          2
MBW.A6L3        180        0          2
MQWA.E5L3       0          0          2
MQWA.D5L3       0          0          2
MQWA.C5L3       180        0          2
MQWB.5L3        180        0          2
MQWA.B5L3       180        0          2
MQWA.A5L3       180        0          2
MQWA.E4L3       0          0          2
MQWA.D4L3       180        0          2
MQWA.C4L3       180        0          2
MQWB.4L3        180        0          2
MQWA.B4L3       180        0          2
MQWA.A4L3       180        0          2
MQWA.A4R3       0          0          2
MQWA.B4R3       0          0          2
MQWB.4R3        0          0          2
MQWA.C4R3       0          0          2
MQWA.D4R3       0          0          2
MQWA.E4R3       180        0          2
MQWA.A5R3       0          0          2
MQWA.B5R3       0          0          2
MQWB.5R3        0          0          2
MQWA.C5R3       0          0          2
MQWA.D5R3       180        0          2
MQWA.E5R3       180        0          2
MBW.A6R3        0          0          2
MBW.B6R3        0          0          2
MBW.C6R3        0          0          2
MBW.D6R3        180        0          2
MBW.E6R3        180        0          2
MBW.F6R3        180        0          2
MQTLH.A6R3      0          0          2
MQTLH.B6R3      0          0          2
MQTLH.C6R3      0          0          2
MQTLH.D6R3      0          0          2
MQTLH.E6R3      0          0          2
MQTLH.F6R3      0          0          2
MQTLI.7R3       180        0          2
MQTLI.8R3       180        0          2
MQTLI.A9R3      180        0          2
MQTLI.B9R3      180        0          2
MQTLI.10R3      180        0          2
MQTLI.11R3      180        0          2
MCBH.11R3       180        0          2
MCBV.11R3       180        0          2
MS.11R3         0          0          2
MQT.12R3        0          0          2
MS.12R3         0          0          2
MQT.13R3        0          0          2
MS.13R3         0          0          2
MQT.14R3        0          0          2
MS.14R3         0          0          2
MQT.15R3        0          0          2
MS.15R3         0          0          2
MQT.16R3        0          0          2
MS.16R3         0          0          2
MQT.17R3        0          0          2
MS.17R3         0          0          2
MQT.18R3        0          0          2
MS.18R3         0          0          2
MQT.19R3        0          0          2
MS.19R3         0          0          2
MQT.20R3        0          0          2
MS.20R3         0          0          2
MQT.21R3        0          0          2
MS.21R3         0          0          2
MO.22R3         0          0          2
MS.22R3         0          0          2
MQS.23R3        0          0          2
MS.23R3         0          0          2
MO.24R3         0          0          2
MS.24R3         0          0          2
MO.25R3         0          0          2
MS.25R3         0          0          2
MO.26R3         0          0          2
MS.26R3         0          0          2
MQS.27R3        0          0          2
MS.27R3         0          0          2
MO.28R3         0          0          2
MS.28R3         0          0          2
MO.29R3         0          0          2
MSS.29R3        0          0          2
MO.30R3         0          0          2
MS.30R3         0          0          2
MO.31R3         0          0          2
MS.31R3         0          0          2
MO.32R3         0          0          2
MS.32R3         0          0          2
MO.33R3         0          0          2
MSS.33R3        0          0          2
MO.34R3         0          0          2
MS.34L4         0          0          2
MO.33L4         0          0          2
MSS.33L4        0          0          2
MO.32L4         0          0          2
MS.32L4         0          0          2
MO.31L4         0          0          2
MS.31L4         0          0          2
MO.30L4         0          0          2
MS.30L4         0          0          2
MO.29L4         0          0          2
MSS.29L4        0          0          2
MO.28L4         0          0          2
MS.28L4         0          0          2
MQS.27L4        0          0          2
MS.27L4         0          0          2
MO.26L4         0          0          2
MS.26L4         0          0          2
MO.25L4         0          0          2
MS.25L4         0          0          2
MO.24L4         0          0          2
MS.24L4         0          0          2
MQS.23L4        0          0          2
MS.23L4         0          0          2
MO.22L4         0          0          2
MS.22L4         0          0          2
MQT.21L4        0          0          2
MS.21L4         0          0          2
